seed,condition,base_LZc,base_Integ,cond_LZc,cond_Integ,dLZc_pct,dInteg_pct
1,LSD,0.9718,0.0093,1.0199,0.0065,4.96,-29.8
1,N2O,0.9718,0.0093,0.9243,0.0079,-4.89,-14.8
1,COMBO,0.9718,0.0093,0.9845,0.0061,1.31,-34.6
2,LSD,0.962,0.0066,1.0164,0.0021,5.65,-68.3
2,N2O,0.962,0.0066,0.919,0.0057,-4.47,-14.1
2,COMBO,0.962,0.0066,0.9757,0.0015,1.42,-76.9
3,LSD,0.9581,0.0115,1.0118,0.0059,5.6,-49.1
3,N2O,0.9581,0.0115,0.923,0.0105,-3.67,-8.9
3,COMBO,0.9581,0.0115,0.9692,0.0055,1.15,-52.2
4,LSD,0.9539,0.0058,1.0108,0.0015,5.97,-74.4
4,N2O,0.9539,0.0058,0.9064,0.0045,-4.98,-23.6
4,COMBO,0.9539,0.0058,0.9711,0.0009,1.81,-84.3
5,LSD,0.9578,0.0056,1.0186,0.002,6.35,-63.6
5,N2O,0.9578,0.0056,0.9125,0.0045,-4.72,-19.5
5,COMBO,0.9578,0.0056,0.9705,0.0012,1.33,-78.1
6,LSD,0.9627,0.0064,1.019,0.0048,5.85,-25.7
6,N2O,0.9627,0.0064,0.9177,0.0045,-4.67,-29.9
6,COMBO,0.9627,0.0064,0.9828,0.0038,2.1,-41.0
